Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Finding software vulnerabilities in large C projects via bounded model checking,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-026-00838-0,Janislley O. De SousaBruno C. de FariasThales A. Da SilvaNorbert TihanyiRichard A. DubniczkyEddie B. L. FilhoLucas C. Cordeiro,2026,https://link.springer.com/article/10.1007/s10009-026-00838-0,Article
Verify&#xa0;This: Memcached—A Practical Long-Term Challenge for&#xa0;the&#xa0;Integration of&#xa0;Formal Methods,Integrated Formal Methods,,,,10.1007/978-3-031-47705-8_5,Gidon ErnstAlexander Weigl,2024,https://link.springer.com/chapter/10.1007/978-3-031-47705-8_5,Conference paper
Modelling and&#xa0;Verification of&#xa0;an&#xa0;Application for&#xa0;Managing Sensitive Health Data,From Data to Models and Back,,,,10.1007/978-3-031-87217-4_7,Almo CuciUmar OzeerGwen Salaün,2025,https://link.springer.com/chapter/10.1007/978-3-031-87217-4_7,Conference paper
The VerifyThis Collaborative Long-Term Challenge Series,TOOLympics Challenge 2023,,,,10.1007/978-3-031-67695-6_6,Wolfgang AhrendtGidon ErnstPaula HerberMarieke HuismanRaúl E. MontiMattias UlbrichAlexander Weigl,2025,https://link.springer.com/chapter/10.1007/978-3-031-67695-6_6,Conference paper
Contract-LIB: A Proposal for&#xa0;a&#xa0;Common Interchange Format for&#xa0;Software System Specification,"Leveraging Applications of Formal Methods, Verification and Validation. Specification and Verification",,,,10.1007/978-3-031-75380-0_6,Gidon ErnstWolfram PfeiferMattias Ulbrich,2025,https://link.springer.com/chapter/10.1007/978-3-031-75380-0_6,Conference paper
"A Hybrid Microservices Architecture for&#xa0;Smart Glasses: Integrating Cloud-Based LLMs, Containerized Services, and&#xa0;On-Device Functionalities",Advanced Information Networking and Applications,,,,10.1007/978-3-031-87778-0_42,Theodor-Radu GrumezaThomas-Andrei LazărAlexandra-Emilia Fortiş,2025,https://link.springer.com/chapter/10.1007/978-3-031-87778-0_42,Conference paper
Towards High-performance and Trusted Cloud DBMSs,Datenbank-Spektrum,,,,10.1007/s13222-025-00495-8,Adrian LutschMuhammad El-HindiZsolt IstvánCarsten Binnig,2025,https://link.springer.com/article/10.1007/s13222-025-00495-8,Article
Digital twin system for milling process of titanium alloy end mills: integration and performance enhancement,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-16274-4,Wenkai ZhaoRongyi LiXianli LiuCaixu YueMingwei Zhao,2025,https://link.springer.com/article/10.1007/s00170-025-16274-4,Article
Storing Runtime Data in Azure Redis Cache,Microsoft Azure for Java Developers,,,,10.1007/978-1-4842-8251-9_9,Abhishek Mishra,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8251-9_9,Chapter
Reliability and Incentive of Performance Assessment for Decentralized Clouds,Journal of Computer Science and Technology,,,,10.1007/s11390-022-2120-y,Jiu-Chen ShiXiao-Qing CaiWen-Li ZhengQuan ChenDe-Ze ZengTatsuhiro TsuchiyaMin-Yi Guo,2022,https://link.springer.com/article/10.1007/s11390-022-2120-y,Article
"Intel PMDK Transactions: Specification, Validation and Concurrency",Programming Languages and Systems,,,,10.1007/978-3-031-57267-8_6,Azalea RaadOri LahavJohn WickersonPiotr BalcerBrijesh Dongol,2024,https://link.springer.com/chapter/10.1007/978-3-031-57267-8_6,Conference paper
Gravitational wave fluxes on generic orbits in near-extreme Kerr spacetime: Higher spin and large eccentricity,"Science China Physics, Mechanics & Astronomy",,,,10.1007/s11433-024-2431-0,Changkai ChenJiliang Jing,2024,https://link.springer.com/article/10.1007/s11433-024-2431-0,Article
Formal Architectural Patterns for Adaptive Robotic Software,Fundamental Approaches to Software Engineering,,,,10.1007/978-3-031-90900-9_8,James BaxterBert van AckerMorten KristensenThomas WrightAna CavalcantiCláudio Gomes,2025,https://link.springer.com/chapter/10.1007/978-3-031-90900-9_8,Conference paper
Testing Java Applications Using Testcontainers,When Docker Meets Java,,,,10.1007/979-8-8688-1300-9_10,Ashish Choudhary,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1300-9_10,Chapter
The Proof Is in the Cloud,Practical GitLab Services,,,,10.1007/979-8-8688-0427-4_15,Jeffrey Painter,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0427-4_15,Chapter
"A Comprehensive Survey on Blockchain-Based Privacy, Scalability, and Consensus Mechanism Techniques",SN Computer Science,,,,10.1007/s42979-025-04693-9,Sheikh Moeen ul HaqueShabir Ahmad SofiSahil Sholla,2026,https://link.springer.com/article/10.1007/s42979-025-04693-9,Article
Computability of Classification and Deep Learning: From Theoretical Limits to Practical Feasibility Through Quantization,Journal of Fourier Analysis and Applications,,,,10.1007/s00041-025-10163-w,Holger BocheVit FojtikAdalbert FonoGitta Kutyniok,2025,https://link.springer.com/article/10.1007/s00041-025-10163-w,Article
TZ-Container: protecting container from untrusted OS with ARM TrustZone,Science China Information Sciences,,,,10.1007/s11432-019-2707-6,Zhichao HuaYang YuJinyu GuYubin XiaHaibo ChenBinyu Zang,2021,https://link.springer.com/article/10.1007/s11432-019-2707-6,Article
"Lights, Camera, Action!",Practical GitLab Services,,,,10.1007/979-8-8688-0427-4_19,Jeffrey Painter,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0427-4_19,Chapter
RoutIR: Fast Serving of&#xa0;Retrieval Pipelines for&#xa0;Retrieval-Augmented Generation,Advances in Information Retrieval,,,,10.1007/978-3-032-21321-1_60,Eugene YangAndrew YatesDawn LawrieJames MayfieldTrevor Adriaanse,2026,https://link.springer.com/chapter/10.1007/978-3-032-21321-1_60,Conference paper
Non-equilibrium Transport and Relaxation in Diffusive Nanowires with Kondo Impurities,Advances in Solid State Physics,,,,10.1007/978-3-540-44838-9_16,Johann KrohaAchim RoschJens PaaskePeter Wölfle,,https://link.springer.com/chapter/10.1007/978-3-540-44838-9_16,Chapter
Cu-Mg-Si (Copper - Magnesium - Silicon),Light Metal Systems. Part 4,,,,10.1007/11008514_19,,,https://link.springer.com/chapter/10.1007/11008514_19,Chapter
Microsoft’s AI Stack and Agentic Evolution,The Agentic AI Revolution,,,,10.1007/979-8-8688-2022-9_5,Will HawkinsNancie Calder,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2022-9_5,Chapter
Things That Lurk in the Background,Practical GitLab Services,,,,10.1007/979-8-8688-0427-4_14,Jeffrey Painter,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0427-4_14,Chapter
Architecting Agentic AI Systems with a Well-Architected Framework,Agentic AI in Enterprise,,,,10.1007/979-8-8688-1542-3_2,Sumit RanjanDivya ChembachereLanwin Lobo,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1542-3_2,Chapter
Working with Visual Studio 2022,Getting Started with Visual Studio 2022,,,,10.1007/979-8-8688-2114-1_2,Dirk Strauss,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2114-1_2,Chapter
Cu-In-S (Copper-Indium-Sulfur),Non-Ferrous Metal Systems. Part 1,,,,10.1007/10915981_24,,,https://link.springer.com/chapter/10.1007/10915981_24,Chapter
Determination of Particle Size Distributionsof Swollen (Hydrated) Particlesby Analytical Ultracentrifugation,Analytical Ultracentrifugation VIII,,,,10.1007/2882_011,Hans Georg Müller,,https://link.springer.com/chapter/10.1007/2882_011,Conference paper
WebAssembly Orchestration in the Context of Serverless Computing,Journal of Network and Systems Management,,,,10.1007/s10922-023-09753-0,Vojdan KjorveziroskiSonja Filiposka,2023,https://link.springer.com/article/10.1007/s10922-023-09753-0,Article
Synthesis and Depositionof Water-Dispersed Prussian Blue Nanocrystals on Polymers and CNTs,Characterization of Polymer Surfaces and Thin Films,,,,10.1007/2882_042,Vera BocharovaGanna GorodyskaAnton KiriyManfred StammPaul SimonIngolf MönchDieter ElefantXudong LouFrancois StoffelbachChristophe DetrembleurRobert Jérôme,,https://link.springer.com/chapter/10.1007/2882_042,Conference paper
Static Data Race Detection via&#xa0;Lazy Sequentialization,Networked Systems,,,,10.1007/978-3-031-67321-4_8,Bernd FischerGiulio GarbiSalvatore La TorreGennaro ParlatoPeter Schrammel,2024,https://link.springer.com/chapter/10.1007/978-3-031-67321-4_8,Conference paper
OpenCog Hyperon: A Practical Path to&#xa0;Beneficial AGI and&#xa0;ASI,Artificial General Intelligence,,,,10.1007/978-3-032-00686-8_18,Ben Goertzel,2026,https://link.springer.com/chapter/10.1007/978-3-032-00686-8_18,Conference paper
Edge-computing-assisted intelligent processing of AI-generated image content,Journal of Real-Time Image Processing,,,,10.1007/s11554-023-01400-w,Suzhen WangYongchen DengLisha HuNing Cao,2024,https://link.springer.com/article/10.1007/s11554-023-01400-w,Article
Immutable Runtimes,The Art of Immutable Architecture,,,,10.1007/979-8-8688-0288-1_6,Michael L. Perry,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0288-1_6,Chapter
Kubernetes Scaling: A Comprehensive Review of Scalability in Kubernetes,ICT Systems and Sustainability,,,,10.1007/978-3-032-06671-8_21,Thisura S. WijesekeraDinuka R. Wijendra,2026,https://link.springer.com/chapter/10.1007/978-3-032-06671-8_21,Conference paper
Enterprise DBS Management and Arc,Azure Arc Systems Management,,,,10.1007/978-1-4842-9480-2_5,Ramona Maxwell,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9480-2_5,Chapter
Results for High--Tc Cuprates Obtained from a Generalized Eliashberg Theory: Doping Dependence,Theory of Unconventional Superconductors,,,,10.1007/978-3-540-39976-6_3,Dirk Manske,,https://link.springer.com/chapter/10.1007/978-3-540-39976-6_3,Chapter
Infrastructure-as-Code Ecosystems,Software Ecosystems,,,,10.1007/978-3-031-36060-2_9,Ruben OpdebeeckAhmed ZeroualiCoen De Roover,2023,https://link.springer.com/chapter/10.1007/978-3-031-36060-2_9,Chapter
Automated Verification of&#xa0;Monotonic Data Structure Traversals in&#xa0;C,Computer Aided Verification,,,,10.1007/978-3-031-98668-0_2,Matthew Sotoudeh,2025,https://link.springer.com/chapter/10.1007/978-3-031-98668-0_2,Conference paper
ASP.NET Is a Great Place for Microservices,Pro Microservices in .NET 10,,,,10.1007/979-8-8688-2049-6_4,Sean WhitesellRob Richardson,2025,https://link.springer.com/chapter/10.1007/979-8-8688-2049-6_4,Chapter
Static Deadlock Detection in&#xa0;Low-Level C Code,Computer Aided Systems Theory – EUROCAST 2022,,,,10.1007/978-3-031-25312-6_31,Dominik HarmimVladimír MarcinLucie SvobodováTomáš Vojnar,2022,https://link.springer.com/chapter/10.1007/978-3-031-25312-6_31,Conference paper
Effect of laminar plasma quenching technology on the anti-wear and anti-fatigue properties of two types of U75V rail welded joints,Journal of Zhejiang University-SCIENCE A,,,,10.1631/jzus.A2500194,Jingmang XuHui ZhuWenfeng GaoTaoshuo BaiJian YangKai WangYao QianPing Wang,2026,https://link.springer.com/article/10.1631/jzus.A2500194,Article
REST APIs,Practical Rust Projects,,,,10.1007/978-1-4842-9331-7_5,Shing LyuAndrew Rzeznik,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9331-7_5,Chapter
HSEB: optimizing microkernel performance for network I/O-intensive applications via High-Speed Event Bus mechanism,Cluster Computing,,,,10.1007/s10586-025-05758-3,Xiaoying WangWai Chen,2025,https://link.springer.com/article/10.1007/s10586-025-05758-3,Article
Generative AI inversely designs amorphous alloys with customized properties,Science China Technological Sciences,,,,10.1007/s11431-025-3103-5,Shaochun LiJunzhi CuiJingli Ren,2026,https://link.springer.com/article/10.1007/s11431-025-3103-5,Article
A lightweight blockchain based scalable and collaborative mitigation framework against new flow DDoS attacks in SDN enabled autonomous systems,Scientific Reports,,,,10.1038/s41598-025-19989-2,Shikha GargSonia GoyalAbhinav Bhandari,2025,https://link.springer.com/article/10.1038/s41598-025-19989-2,Article
A Domain Specific Language for&#xa0;Testing Distributed Protocol Implementations,Networked Systems,,,,10.1007/978-3-031-67321-4_6,Cezara DragoiSrinidhi NagendraMandayam Srivas,2024,https://link.springer.com/chapter/10.1007/978-3-031-67321-4_6,Conference paper
The Future of .NET,.NET 10 Revealed,,,,10.1007/979-8-8688-1889-9_10,Kajetan Duszyński,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1889-9_10,Chapter
Getting Started with RavenDB,Introducing RavenDB,,,,10.1007/978-1-4842-8919-8_1,Dejan Miličić,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8919-8_1,Chapter
The Blockchain-Based Digital Certificate for the Transport of Dangerous Goods,Blockchain Driven Supply Chains and Enterprise Information Systems,,,,10.1007/978-3-030-96154-1_3,Adnan ImeriChristophe FeltusNazim AgoulmineDjamel Khadraoui,2023,https://link.springer.com/chapter/10.1007/978-3-030-96154-1_3,Chapter
Apache Kafka and Spark Structured Streaming,Modern Data Engineering with Apache Spark,,,,10.1007/978-1-4842-7452-1_11,Scott Haines,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7452-1_11,Chapter
Functional Verification for Agile Processor Development: A Case for Workflow Integration,Journal of Computer Science and Technology,,,,10.1007/s11390-023-3285-8,Yi-Nan XuZi-Hao YuKai-Fan WangHua-Qiang WangJia-Wei LinYue JinLin-Juan ZhangZi-Fei ZhangDan TangSa WangKan ShiNing-Hui SunYun-Gang Bao,2023,https://link.springer.com/article/10.1007/s11390-023-3285-8,Article
Predicting grain size in extruded AA6063 profiles: A unified approach based on finite element analysis and machine learning,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-14021-9,Marco NegozioVincenzo FerraroLorenzo DonatiAdrian H. A. Lutey,2024,https://link.springer.com/article/10.1007/s00170-024-14021-9,Article
"DeepPrep: an accelerated, scalable and robust pipeline for neuroimaging preprocessing empowered by deep learning",Nature Methods,,,,10.1038/s41592-025-02599-1,Jianxun RenNing AnCong LinYoujia ZhangZhenyu SunWei ZhangShiyi LiNing GuoWeigang CuiQingyu HuWeiwei WangXuehai WuYinyan WangTao JiangTheodore D. SatterthwaiteDanhong WangHesheng Liu,2025,https://link.springer.com/article/10.1038/s41592-025-02599-1,Article
A systematic quality-integrated diagnostic method for complex product assembly using multi-task spatial–temporal transfer learning,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-14433-7,Xun ChengFeihong HuangLinqiong Qiu,2024,https://link.springer.com/article/10.1007/s00170-024-14433-7,Article
I/O Systems and Patterns,The Structure and Interpretation of the SMB Protocol,,,,10.1007/978-981-10-7805-7_8,Sunu EngineerAnu Engineer,2026,https://link.springer.com/chapter/10.1007/978-981-10-7805-7_8,Chapter
Fetal Assessment Suite (FetAS): a web-based platform for automatic fetal MRI analysis using AI,Scientific Reports,,,,10.1038/s41598-025-32298-y,Alejo CostanzoAdam LimMichael PereiraYasmin ModaraiJustin LoNika MomeniJoshua EisenstatMatthias W. WagnerLogi VidarssonElka MillerBirgit Ertl-WagnerDafna Sussman,2025,https://link.springer.com/article/10.1038/s41598-025-32298-y,Article
Integrating ACI with Virtualization and Container Platforms,Cisco ACI: Zero to Hero,,,,10.1007/978-1-4842-8838-2_9,Jan Janovic,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8838-2_9,Chapter
Reconstruction of residual stresses in additively manufactured Inconel 718 bridge structures using contour method,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-15417-x,Fatih UzunAlexander M. Korsunsky,2025,https://link.springer.com/article/10.1007/s00170-025-15417-x,Article
Analyzing the airborne birch and grass pollen monitoring network of Belgium,Aerobiologia,,,,10.1007/s10453-025-09846-0,Willem W. VerstraetenRostislav KouznetsovNicolas BruffaertsMikhail SofievAndy W. Delcloo,2025,https://link.springer.com/article/10.1007/s10453-025-09846-0,Article
Microservices Architecture and Design,Cloud Native Architecture and Design,,,,10.1007/978-1-4842-7226-8_5,Shivakumar R Goniwada,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7226-8_5,Chapter
Regulating membrane curvature,Regulatory Mechanisms of Intracellular Membrane Transport,,,,10.1007/b98566,Joost C.M. Holthuis,,https://link.springer.com/chapter/10.1007/b98566,Chapter
Architectural Background,Shared-Memory Synchronization,,,,10.1007/978-3-031-38684-8_2,Michael L. ScottTrevor Brown,2024,https://link.springer.com/chapter/10.1007/978-3-031-38684-8_2,Chapter
"Mining, Analyzing, and Evolving Data-Intensive Software Ecosystems",Software Ecosystems,,,,10.1007/978-3-031-36060-2_11,Csaba NagyMichele LanzaAnthony Cleve,2023,https://link.springer.com/chapter/10.1007/978-3-031-36060-2_11,Chapter
Ansible for K8s Tasks,Ansible for Kubernetes by Example,,,,10.1007/978-1-4842-9285-3_4,Luca Berton,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9285-3_4,Chapter
Patterns for Writing Structured Streaming Applications,Modern Data Engineering with Apache Spark,,,,10.1007/978-1-4842-7452-1_10,Scott Haines,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7452-1_10,Chapter
Design and Implementation of Drilling Parameter Acquisition System Based on “Simulation Mode”,Proceedings of the 2021 International Petroleum and Petrochemical Technology Conference,,,,10.1007/978-981-16-9427-1_60,Sheng-wa LiuYong Dai,2022,https://link.springer.com/chapter/10.1007/978-981-16-9427-1_60,Conference paper
