Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Logical Data Model for&#xa0;Key-Value Databases?,Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6932-5_25,Aniko Vagner,2025,https://link.springer.com/chapter/10.1007/978-981-96-6932-5_25,Conference paper
Dynamic Resource Manager for&#xa0;Automating Deployments in&#xa0;the&#xa0;Computing Continuum,Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90200-0_23,Zahra Najafabadi SamaniMatthias GaThomas FahringerJuan Aznar PovedaStefan Pedratscher,2025,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_23,Conference paper
Caching at Scale: Efficiency and Fairness Analysis in Multi-tenant RAG Systems,SN Computer Science,,,,10.1007/s42979-025-04467-3,Hardik RuparelTatsat Patel,2025,https://link.springer.com/article/10.1007/s42979-025-04467-3,Article
"Memory orchestration mechanisms in serverless computing: a taxonomy, review and future directions",Cluster Computing,,,,10.1007/s10586-023-04251-z,Zahra Shojaee radMostafa Ghobaei-AraniReza Ahsan,2024,https://link.springer.com/article/10.1007/s10586-023-04251-z,Article
Managing and Securing AVD Solution,Design and Deploy Microsoft Azure Virtual Desktop,,,,10.1007/978-1-4842-7796-6_5,Puthiyavan Udayakumar,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7796-6_5,Chapter
"An optimized approach with 128-bit key management for IoT-enabled smart grid: enhancing efficiency, security, and sustainability",Electrical Engineering,,,,10.1007/s00202-024-02636-w,R. R. RamyaJ. Banumathi,2024,https://link.springer.com/article/10.1007/s00202-024-02636-w,Article
Achieving Resilience and Event Processing Reliability in Event-Driven Microservices,Practical Event-Driven Microservices Architecture,,,,10.1007/978-1-4842-7468-2_7,Hugo Filipe Oliveira Rocha,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7468-2_7,Chapter
Auto-scaling techniques for IoT-based cloud applications: a review,Cluster Computing,,,,10.1007/s10586-021-03265-9,Shveta VermaAnju Bala,2021,https://link.springer.com/article/10.1007/s10586-021-03265-9,Article
Measuring Clock Reliability in Cloud Virtual Machines,Real-Time Intelligence for Heterogeneous Networks,,,,10.1007/978-3-030-75614-7_6,Aarush AhujaVanita JainDharmender Saini,2021,https://link.springer.com/chapter/10.1007/978-3-030-75614-7_6,Chapter
Hierarchical data replication strategy to improve performance in cloud computing,Frontiers of Computer Science,,,,10.1007/s11704-019-9099-8,Najme MansouriMohammad Masoud JavidiBehnam Mohammad Hasani Zade,2020,https://link.springer.com/article/10.1007/s11704-019-9099-8,Article
An intelligent memory caching architecture for data-intensive multimedia applications,Multimedia Tools and Applications,,,,10.1007/s11042-020-08805-w,Aaqif Afzaal AbbasiSameen JavedShahaboddin Shamshirband,2020,https://link.springer.com/article/10.1007/s11042-020-08805-w,Article
Using data mining techniques to improve replica management in cloud environment,Soft Computing,,,,10.1007/s00500-019-04357-w,N. MansouriM. M. JavidiB. Mohammad Hasani Zade,2019,https://link.springer.com/article/10.1007/s00500-019-04357-w,Article
