Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
HGNNLink: recovering requirements-code traceability links with text and dependency-aware heterogeneous graph neural networks,Automated Software Engineering,,,,10.1007/s10515-025-00528-2,Bangchao WangZhiyuan ZouXuanxuan LiangHuan JinPeng Liang,2025,https://link.springer.com/article/10.1007/s10515-025-00528-2,Article
A data grid strategy for non-prehensile object transport by a multi-robot system,Artificial Life and Robotics,,,,10.1007/s10015-023-00908-5,Priyank NarvekarAndrew Vardy,2023,https://link.springer.com/article/10.1007/s10015-023-00908-5,Article
Micronaut,Pro RESTful APIs with Micronaut,,,,10.1007/979-8-8688-1243-9_2,Sanjay Patni,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1243-9_2,Chapter
Jakarta EE Cloud-Native Deployment and Operations,Pro Cloud-Native Java EE Apps,,,,10.1007/979-8-8688-1396-2_13,Luqman SaeedGhazy Abdallah,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1396-2_13,Chapter
A multi-model framework for semantically enhancing detection of quality-related bug report descriptions,Empirical Software Engineering,,,,10.1007/s10664-022-10280-w,Rrezarta KrasniqiHyunsook Do,2023,https://link.springer.com/article/10.1007/s10664-022-10280-w,Article
Towards semantically enhanced detection of emerging quality-related concerns in source code,Software Quality Journal,,,,10.1007/s11219-023-09614-8,Rrezarta KrasniqiHyunsook Do,2023,https://link.springer.com/article/10.1007/s11219-023-09614-8,Article
Logical Data Model for&#xa0;Key-Value Databases?,Proceedings of Tenth International Congress on Information and Communication Technology,,,,10.1007/978-981-96-6932-5_25,Aniko Vagner,2025,https://link.springer.com/chapter/10.1007/978-981-96-6932-5_25,Conference paper
Composing Multi-Service Containers,Java Microservices and Containers in the Cloud,,,,10.1007/979-8-8688-0555-4_9,Binildas A. Christudas,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0555-4_9,Chapter
Propagating frugal user feedback through closeness of code dependencies to improve IR-based traceability recovery,Empirical Software Engineering,,,,10.1007/s10664-021-10091-5,Hui GaoHongyu KuangXiaoxing MaHao HuJian LüPatrick MäderAlexander Egyed,2022,https://link.springer.com/article/10.1007/s10664-021-10091-5,Article
Micronaut,Pro RESTful APIs with Micronaut,,,,10.1007/978-1-4842-9200-6_2,Sanjay Patni,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9200-6_2,Chapter
An Effective Model to Predict the Extension of Code Changes in Bug Fixing Process Using Text Classifiers,"Iranian Journal of Science and Technology, Transactions of Electrical Engineering",,,,10.1007/s40998-021-00458-1,Reza SepahvandReza AkbariSattar HashemiOmid Boushehrian,2021,https://link.springer.com/article/10.1007/s40998-021-00458-1,Article
Spring Data with Spring Boot,Pro Spring Boot 3 with Kotlin,,,,10.1007/979-8-8688-1131-9_5,Peter SpäthFelipe Gutierrez,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1131-9_5,Chapter
Generation of refactoring algorithms by grammatical evolution,Empirical Software Engineering,,,,10.1007/s10664-022-10151-4,Thainá MarianiMarouane KessentiniSilvia Regina Vergilio,2022,https://link.springer.com/article/10.1007/s10664-022-10151-4,Article
Distributed compression and decompression for big image data: JPEG and CCITT Group-3,Multimedia Tools and Applications,,,,10.1007/s11042-023-17266-w,Hillol BarmanNetalkar Rohan KishorSatya Sai Karthik KothuriMounika KukudalaU. S. N. Raju,2023,https://link.springer.com/article/10.1007/s11042-023-17266-w,Article
Data Processing in Problem-Solving of Energy System Vulnerability Based on In-memory Data Grid,Mathematics and its Applications in New Computer Systems,,,,10.1007/978-3-030-97020-8_25,Sergey GorskyAlexei EdelevAlexander Feoktistov,2022,https://link.springer.com/chapter/10.1007/978-3-030-97020-8_25,Conference paper
An extensive replication study of the ABLoTS approach for bug localization,Empirical Software Engineering,,,,10.1007/s10664-024-10537-6,Feifei NiuEnshuo ZhangChristoph Mayr-DornWesley Klewerton Guez AssunçãoLiguo HuangJidong GeBin LuoAlexander Egyed,2024,https://link.springer.com/article/10.1007/s10664-024-10537-6,Article
Spring Data with Spring Boot,Pro Spring Boot 3,,,,10.1007/978-1-4842-9294-5_5,Felipe Gutierrez,2024,https://link.springer.com/chapter/10.1007/978-1-4842-9294-5_5,Chapter
Caching in Forschung und Industrie,Schnelles und skalierbares Cloud-Datenmanagement,,,,10.1007/978-3-031-54388-3_5,Felix GessertWolfram WingerathNorbert Ritter,2024,https://link.springer.com/chapter/10.1007/978-3-031-54388-3_5,Chapter
Jakarta NoSQL,Java EE to Jakarta EE 10 Recipes,,,,10.1007/978-1-4842-8079-9_17,Josh JuneauTarun Telang,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8079-9_17,Chapter
Increasing the availability of IoT applications with reactive microservices,Service Oriented Computing and Applications,,,,10.1007/s11761-020-00308-8,Cleber SantanaLeandro AndradeFlávia C. DelicatoCássio Prazeres,2020,https://link.springer.com/article/10.1007/s11761-020-00308-8,Article
Trade-Offs and Challenges of Serverless Data Analytics,Technologies and Applications for Big Data Value,,,,10.1007/978-3-030-78307-5_3,Pedro García-LópezMarc Sánchez-ArtigasSimon ShillakerPeter PietzuchDavid BreitgandGil VernikPierre SutraTristan TarrantAna Juan-FerrerGerard París,2022,https://link.springer.com/chapter/10.1007/978-3-030-78307-5_3,Chapter
On pruning techniques in map-reduce style CbO algorithms,Annals of Mathematics and Artificial Intelligence,,,,10.1007/s10472-022-09787-1,Jan KonecnyPetr Krajča,2022,https://link.springer.com/article/10.1007/s10472-022-09787-1,Article
Content based image retrieval on big image data using local and global features,International Journal of Information Technology,,,,10.1007/s41870-021-00806-8,Suresh Kumar KanaparthiU. S. N. Raju,2021,https://link.springer.com/article/10.1007/s41870-021-00806-8,Article
A Load Balancing VMs Migration Approach for Multi-tier Application in Cloud Computing Based on Fuzzy Set and Q-Learning Algorithm,Research in Intelligent and Computing in Engineering,,,,10.1007/978-981-15-7527-3_58,Khiet T. BuiLinh V. NguyenTai V. TranTran-Vu PhamHung C. Tran,2021,https://link.springer.com/chapter/10.1007/978-981-15-7527-3_58,Conference paper
Switching Network Protocols to Improve Communication Performance in Public Clouds,Image Processing and Communications Challenges 10,,,,10.1007/978-3-030-03658-4_27,Sebastian ŁaskawiecMichał ChoraśRafał Kozik,2019,https://link.springer.com/chapter/10.1007/978-3-030-03658-4_27,Conference paper
Structured information in bug report descriptions—influence on IR-based bug localization and developers,Software Quality Journal,,,,10.1007/s11219-019-09445-6,Michael RathPatrick Mäder,2019,https://link.springer.com/article/10.1007/s11219-019-09445-6,Article
Coding a Monolithic Application,Pro Java Microservices with Quarkus and Kubernetes,,,,10.1007/978-1-4842-7170-4_3,Nebrass Lamouchi,2021,https://link.springer.com/chapter/10.1007/978-1-4842-7170-4_3,Chapter
A Comprehensive Study on GMU Protocol and Its Designing Impact in Cloud Computing,Intelligent Techniques and Applications in Science and Technology,,,,10.1007/978-3-030-42363-6_14,Ammlan Ghosh,2020,https://link.springer.com/chapter/10.1007/978-3-030-42363-6_14,Conference paper
